,BACHELOR,BACHELOR_AGE,BACHELOR_HEIGHT,SEASON,BACHELOR_HOMETOWN_CITY,BACHELOR_HOMETOWN_STATE,CONTESTANT,CONTESTANT_AGE,CONTESTANT_JOB,CONTESTANT_HEIGHT,CONTESTANT_ELIMWEEK,CONTESTANT_HOMETOWN_CITY,CONTESTANT_HOMETOWN_STATE
173,Matt Grant,27,,12,London,England,Rebecca,30.0,Attorney,,1.0,Alamo,CA
174,Matt Grant,27,,12,London,England,Stacey Elza,26.0,Graduate student,,1.0,Chicago,IL
175,Matt Grant,27,,12,London,England,Tamara,23.0,Cocktail waitress,,1.0,Beverly Hills,CA
176,Matt Grant,27,,12,London,England,Tiffany,33.0,Real estate marketing rep.,,1.0,San Francisco,CA
177,Jason Mesnick,33,,13,Cleveland,OH,Melissa Rycroft,25.0,Sales Representative,,,Dallas,TX
178,Jason Mesnick,33,,13,Cleveland,OH,Molly Malaney,24.0,Department Store Buyer,,8.0,Brookfield,WI
179,Jason Mesnick,33,,13,Cleveland,OH,Jillian Harris,29.0,Interior Designer,,7.0,"Peace River, Alberta",
180,Jason Mesnick,33,,13,Cleveland,OH,Naomi Rose Crespo,24.0,Flight Attendant,,6.0,"Carlsbad, California",
181,Jason Mesnick,33,,13,Cleveland,OH,Stephanie Hogan,34.0,Single Mother & Medical Marketing Rep.,,5.0,"Huntsville, Alabama",
182,Jason Mesnick,33,,13,Cleveland,OH,Lauren Wanger,27.0,Teacher,,4.0,"Marlboro, New Jersey",
183,Jason Mesnick,33,,13,Cleveland,OH,Megan Parris,25.0,Single Mother and Lacrosse Coach,,4.0,"Sewickley, Pennsylvania",
184,Jason Mesnick,33,,13,Cleveland,OH,Shannon Bair,29.0,Dental Hygienist,,4.0,"Marshall, Missouri",
185,Jason Mesnick,33,,13,Cleveland,OH,"Nicole ""Nikki"" Kaapke",29.0,Administrative Assistant,,4.0,"Blue Island, Illinois",
186,Jason Mesnick,33,,13,Cleveland,OH,Erica DeSimone,25.0,Account Executive,,3.0,"Monroe, Connecticut",
187,Jason Mesnick,33,,13,Cleveland,OH,Kari Fajen,27.0,Account Executive,,3.0,"Lee's Summit, Missouri",
188,Jason Mesnick,33,,13,Cleveland,OH,Natalie Getz,27.0,Human Resources Recruiter,,3.0,"Morton, Illinois",
189,Jason Mesnick,33,,13,Cleveland,OH,Raquel Medeiros,27.0,Medical Student,,2.0,"Recife, Pernambuco, Brazil",
190,Jason Mesnick,33,,13,Cleveland,OH,Sharon Staebell,32.0,Teacher,,2.0,"Batavia, New York",
191,Jason Mesnick,33,,13,Cleveland,OH,Lisa Gonzalez,28.0,Public Relations Associate,,2.0,"Boise, Idaho",
192,Jason Mesnick,33,,13,Cleveland,OH,Ann Lueders,24.0,Flight Attendant,,1.0,"Phoenix, Arizona",
193,Jason Mesnick,33,,13,Cleveland,OH,Dominique Carta,26.0,Medical Sales Rep.,,1.0,"Mt. Carmel, Pennsylvania",
194,Jason Mesnick,33,,13,Cleveland,OH,Emily,23.0,Casino Marketing Rep.,,1.0,"Seattle, Washington",
195,Jason Mesnick,33,,13,Cleveland,OH,Jackie Hickey,26.0,Wedding Coordinator,,1.0,"Springfield, Massachusetts",
196,Jason Mesnick,33,,13,Cleveland,OH,Julie Dermotta,26.0,Teacher,,1.0,"Columbus, Ohio",
