1.0-Negative,1.0-Neutral,1.0-Positive,1.0-Total,1.0-choose,1.0-win,10.0-Negative,10.0-Neutral,10.0-Positive,10.0-Total,10.0-choose,10.0-win,11.0-Negative,11.0-Neutral,11.0-Positive,11.0-Total,11.0-choose,11.0-win,2.0-Negative,2.0-Neutral,2.0-Positive,2.0-Total,2.0-choose,2.0-win,3.0-Negative,3.0-Neutral,3.0-Positive,3.0-Total,3.0-choose,3.0-win,4.0-Negative,4.0-Neutral,4.0-Positive,4.0-Total,4.0-choose,4.0-win,5.0-Negative,5.0-Neutral,5.0-Positive,5.0-Total,5.0-choose,5.0-win,6.0-Negative,6.0-Neutral,6.0-Positive,6.0-Total,6.0-choose,6.0-win,7.0-Negative,7.0-Neutral,7.0-Positive,7.0-Total,7.0-choose,7.0-win,8.0-Negative,8.0-Neutral,8.0-Positive,8.0-Total,8.0-choose,8.0-win,9.0-Negative,9.0-Neutral,9.0-Positive,9.0-Total,9.0-choose,9.0-win,Age,ElimWeek,Hometown,Name,Occupation,Season,firstname
,,,1,0,0,1.0,1.0,0.0,2,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,4,0,0,3.0,15.0,19.0,37,0,1,5.0,20.0,17.0,42,0,3,,,,0,0,0,,,3.0,3,0,0,,,,,,13,Matt
0.0,1.0,1.0,2,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Grant
,,,1,0,0,1.0,4.0,0.0,5,0,0,,,,,,,,,,0,0,0,1.0,5.0,3.0,9,0,0,0.0,3.0,2.0,5,0,0,1.0,0.0,7.0,8,0,0,0.0,4.0,3.0,7,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Anthony
0.0,1.0,2.0,3,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jamey
0.0,6.0,1.0,7,0,0,,,,0,0,0,,,,,,,,,,1,0,0,1.0,0.0,1.0,2,0,0,,,,1,0,0,3.0,6.0,2.0,11,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jack Stone
0.0,10.0,3.0,13,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Mohit
,,1.0,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jedidiah
0.0,3.0,1.0,4,0,0,,,,0,0,0,,,,,,,3.0,5.0,0.0,8,0,0,,,,2,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Michael
16.0,30.0,34.0,80,0,0,,,,1,0,0,,,,,,,11.0,15.0,9.0,35,0,0,12.0,31.0,9.0,52,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Lucas
145.0,1447.0,1170.0,2762,3,250,46.0,290.0,171.0,507,67,13,,,,,,,26.0,93.0,102.0,221,0,18,3.0,19.0,18.0,40,1,0,416.0,307.0,320.0,1043,3,47,149.0,638.0,551.0,1338,2,28,287.0,433.0,428.0,1148,3,55,206.0,632.0,539.0,1377,9,72,204.0,773.0,695.0,1672,9,36,457.0,775.0,914.0,2146,17,63,27.0,,"Chico, California",Jordan Rodgers,Former Pro Quarterback,12,Jordan
